"tract","Name","Incarceration_Rate_rP_gP_pall"
6037228220,"South Los Angeles, Los Angeles, CA",0.0213
6037208302,"Central LA, Los Angeles, CA",0.0212
6037554001,"Bellflower, CA",0.0212
6037543304,"Carson, CA",0.0212
6037532604,"Huntington Park, CA",0.0212
6037433402,"El Monte, CA",0.0212
6037224200,"Central LA, Los Angeles, CA",0.0212
6037542602,"Compton, CA",0.0211
6037603200,"Gardena, CA",0.0211
6037219800,"Los Angeles, CA",0.021
6037533107,"Huntington Park, CA",0.0208
6037570502,"Grant, Long Beach, CA",0.0208
6037271701,"Palms, Los Angeles, CA",0.0207
6037550202,"Norwalk, CA",0.0207
6037191420,"Central LA, Los Angeles, CA",0.0207
6037226420,"South Los Angeles, Los Angeles, CA",0.0206
6037540800,"South Los Angeles, Los Angeles, CA",0.0206
6037602801,"South Los Angeles, Los Angeles, CA",0.0206
6037543100,"Compton, CA",0.0206
6037535300,"South Los Angeles, Los Angeles, CA",0.0205
6037234800,"Park Mesa Heights, Los Angeles, CA",0.0205
6037221820,"Jefferson, Los Angeles, CA",0.0205
6037241202,"South Los Angeles, Los Angeles, CA",0.0205
6037199120,"Montecito Heights, Los Angeles, CA",0.0205
6037534002,"South Montebello, Bell Gardens, CA",0.0205
6037204820,"Boyle Heights, Los Angeles, CA",0.0204
6037213320,"Central LA, Los Angeles, CA",0.0204
6037701802,"Pico, Santa Monica, CA",0.0202
6037552200,"Norwalk, CA",0.0202
6037554404,"Bellflower, CA",0.0202
6037650902,"Old Town Torrance, Torrance, CA",0.0201
6037570303,"North Long Beach, Long Beach, CA",0.0201
6037600602,"Inglewood, CA",0.02
6037543000,"Compton, CA",0.02
6037231400,"Leimert Park, Los Angeles, CA",0.02
6037433304,"El Monte, CA",0.02
6037231220,"South Figueroa Corridor, Los Angeles, CA",0.0199
6037238400,"South Los Angeles, Los Angeles, CA",0.0199
6037534102,"South Montebello, Bell Gardens, CA",0.0199
6037239701,"South Los Angeles, Los Angeles, CA",0.0197
6037221710,"Jefferson, Los Angeles, CA",0.0197
6037239330,"South Los Angeles, Los Angeles, CA",0.0197
6037234300,"Leimert Park, Los Angeles, CA",0.0197
6037551102,"Downey, CA",0.0196
6037551300,"Downey, CA",0.0196
6037240800,"South Los Angeles, Los Angeles, CA",0.0195
6037571704,"Addams, Long Beach, CA",0.0195
6037217200,"Central LA, Los Angeles, CA",0.0194
6037533105,"Huntington Park, CA",0.0194
6037222500,"South Los Angeles, Los Angeles, CA",0.0194
6037291220,"Harbor, Gardena, CA",0.0193
6037240700,"South Los Angeles, Los Angeles, CA",0.0193
6037601900,"Inglewood, CA",0.0192
6037552100,"Norwalk, CA",0.0191
6037239501,"South Los Angeles, Los Angeles, CA",0.0191
6037218701,"Central LA, Los Angeles, CA",0.019
6037242000,"South Los Angeles, Los Angeles, CA",0.019
6037701801,"Pico, Santa Monica, CA",0.019
6037237800,"South Los Angeles, Los Angeles, CA",0.019
6037542200,"Compton, CA",0.0189
6037212305,"Central LA, Los Angeles, CA",0.0189
6037271801,"Palms, Los Angeles, CA",0.0189
6037237720,"South Figueroa Corridor, Los Angeles, CA",0.0189
6037542502,"Compton, CA",0.0189
6037503106,"Whittier, CA",0.0189
6037530901,"Los Angeles, CA",0.0188
6037541801,"Lynwood, CA",0.0187
6037543201,"Compton, CA",0.0185
6037540400,"South Los Angeles, Los Angeles, CA",0.0185
6037603801,"Lawndale, CA",0.0185
6037221303,"Central LA, Los Angeles, CA",0.0185
6037199300,"Montecito Heights, Los Angeles, CA",0.0184
6037242200,"South Los Angeles, Los Angeles, CA",0.0184
6037533300,"Maywood, CA",0.0184
6037201401,"Northeast Los Angeles, Los Angeles, CA",0.0183
6059086901,"Southwest Anaheim, Anaheim, CA",0.0183
6037433901,"El Monte, CA",0.0183
6037218400,"Central LA, Los Angeles, CA",0.0182
6037554002,"Bellflower, CA",0.0182
6037533106,"Huntington Park, CA",0.0182
6037540901,"South Los Angeles, Los Angeles, CA",0.0181
6037602802,"South Los Angeles, Los Angeles, CA",0.0181
6037555102,"Lakewood, CA",0.0181
6037552601,"Norwalk, CA",0.0181
6037530301,"East Los Angeles, CA",0.018
6037433302,"El Monte, CA",0.018
6037541700,"Lynwood, CA",0.0179
6037544001,"Carson, CA",0.0179
6037532900,"South Los Angeles, Los Angeles, CA",0.0178
6037540600,"South Los Angeles, Los Angeles, CA",0.0178
6037541604,"Compton, CA",0.0178
6037231900,"South Figueroa Corridor, Los Angeles, CA",0.0178
6037570204,"North Long Beach, Long Beach, CA",0.0177
6037540502,"Lynwood, CA",0.0177
6037540101,"Lynwood, CA",0.0177
6037241120,"South Los Angeles, Los Angeles, CA",0.0176
6037543322,"Carson, CA",0.0176
6037500800,"El Rancho, Pico Rivera, CA",0.0176
6037542104,"East Compton, CA",0.0176
6037195720,"Echo Park, Los Angeles, CA",0.0174
6037199110,"Montecito Heights, Los Angeles, CA",0.0174
6037553702,"Paramount, CA",0.0174
6037603704,"Hawthorne, CA",0.0173
6037275302,"Marina del Rey, CA",0.0173
6037531602,"South Montebello, East Los Angeles, CA",0.0173
6037243000,"South Los Angeles, Los Angeles, CA",0.0173
6037206050,"Central LA, Los Angeles, CA",0.0172
6037228800,"Central Alameda, Los Angeles, CA",0.0172
6037535102,"South Los Angeles, Los Angeles, CA",0.0172
6037432401,"El Monte City, El Monte, CA",0.0171
6037650901,"Old Town Torrance, Torrance, CA",0.0171
6037218500,"Central LA, Los Angeles, CA",0.0171
6037232800,"South Figueroa Corridor, Los Angeles, CA",0.017
6037554105,"Bellflower, CA",0.017
6037218110,"Central LA, Los Angeles, CA",0.0169
6037533602,"Bell, CA",0.0169
6037220000,"Jefferson, Los Angeles, CA",0.0168
6037500402,"El Rancho, Pico Rivera, CA",0.0167
6037234600,"Park Mesa Heights, Los Angeles, CA",0.0167
6037541400,"South Los Angeles, Compton, CA",0.0167
6037199700,"Central LA, Los Angeles, CA",0.0167
6037201110,"Northeast Los Angeles, Los Angeles, CA",0.0167
6037502500,"El Rancho, Pico Rivera, CA",0.0167
6037534804,"Huntington Park, CA",0.0165
6037570602,"Harte, Long Beach, CA",0.0165
6037533901,"South Montebello, Bell Gardens, CA",0.0165
6037221401,"Jefferson, Los Angeles, CA",0.0164
6037229420,"South Los Angeles, Los Angeles, CA",0.0164
6037218120,"Central LA, Los Angeles, CA",0.0164
6037204810,"Boyle Heights, Los Angeles, CA",0.0164
6037239801,"South Los Angeles, Los Angeles, CA",0.0163
6037501804,"Whittier, CA",0.0163
6037552002,"Norwalk, CA",0.0163
6037482201,"Monterey Park, CA",0.0163
6037503802,"La Mirada, CA",0.0163
6037220100,"South Los Angeles, Los Angeles, CA",0.0163
6037206010,"Central LA, Los Angeles, CA",0.0162
6037543905,"Carson, CA",0.0162
6037703100,"View Park, View Park-Windsor Hills, CA",0.0162
6037602509,"Hawthorne, CA",0.0161
6037544002,"Long Beach, CA",0.0161
6037226700,"South Los Angeles, Los Angeles, CA",0.0161
6037197500,"Echo Park, Los Angeles, CA",0.0161
6037199400,"Mount Washington, Los Angeles, CA",0.016
6037531901,"South Montebello, East Los Angeles, CA",0.016
6037536104,"South Gate, CA",0.016
6037603900,"Lawndale, CA",0.016
6037600801,"Morningside Park, Inglewood, CA",0.0159
6037602900,"Gardena, CA",0.0159
6037231300,"South Los Angeles, Los Angeles, CA",0.0159
6037533503,"Huntington Park, CA",0.0159
6037600912,"Inglewood, CA",0.0158
6037228710,"Central Alameda, Los Angeles, CA",0.0158
6037531902,"South Montebello, East Los Angeles, CA",0.0158
6037216700,"Central LA, Los Angeles, CA",0.0157
6037703001,"Fox Hills, Culver City, CA",0.0157
6037219020,"South Los Angeles, Los Angeles, CA",0.0157
6037602105,"Hawthorne, CA",0.0157
6037221120,"Central LA, Los Angeles, CA",0.0157
6037195803,"Silver Lake, Los Angeles, CA",0.0157
6037293202,"Harbor Gateway South, Torrance, CA",0.0157
6037602004,"Inglewood, CA",0.0156
6037533202,"Huntington Park, CA",0.0156
6059110500,"Buena Park, CA",0.0156
6037481902,"Alhambra, CA",0.0156
6037554700,"Norwalk, CA",0.0156
6037542105,"Compton, CA",0.0156
6037501200,"Whittier, CA",0.0155
6037532500,"Huntington Park, CA",0.0155
6037570403,"College Square, Long Beach, CA",0.0154
6037212203,"Central LA, Los Angeles, CA",0.0154
6037603400,"Gardena, CA",0.0153
6037192610,"Central LA, Los Angeles, CA",0.0153
6037222100,"South Los Angeles, Los Angeles, CA",0.0153
6037228100,"South Los Angeles, Los Angeles, CA",0.0153
6037482402,"Garvey, Rosemead, CA",0.0152
6037228320,"South Los Angeles, Los Angeles, CA",0.0152
6037555104,"Lakewood, CA",0.0152
6037571503,"Bixby North, Long Beach, CA",0.0152
6037226001,"South Los Angeles, Los Angeles, CA",0.0152
6037212900,"Central LA, Los Angeles, CA",0.015
6037501803,"Whittier, CA",0.015
6037500600,"El Rancho, Pico Rivera, CA",0.015
6037572002,"Bixby Knolls, Long Beach, CA",0.015
6037237600,"South Figueroa Corridor, Los Angeles, CA",0.0149
6037552001,"Norwalk, CA",0.0149
6037224410,"South Los Angeles, Los Angeles, CA",0.0149
6037702901,"Marina del Rey, CA",0.0149
6037197600,"Echo Park, Los Angeles, CA",0.0148
6037231710,"South Figueroa Corridor, Los Angeles, CA",0.0148
6037224600,"South Figueroa Corridor, Los Angeles, CA",0.0147
6037503601,"La Mirada, CA",0.0146
6037191710,"Central LA, Los Angeles, CA",0.0146
6037554600,"Norwalk, CA",0.0146
6037551900,"Norwalk, CA",0.0146
6037533104,"Huntington Park, CA",0.0145
6037203800,"Boyle Heights, Los Angeles, CA",0.0145
6037702803,"Los Angeles, CA",0.0145
6037228720,"South Los Angeles, Los Angeles, CA",0.0145
6037209103,"Central LA, Los Angeles, CA",0.0145
6037502004,"East Whitter, Whittier, CA",0.0144
6037551800,"Downey, CA",0.0144
6037408301,"Bassett, Avocado Heights, CA",0.0144
6037213202,"Central LA, Los Angeles, CA",0.0144
6037228310,"South Los Angeles, Los Angeles, CA",0.0144
6037571701,"North Long Beach, Long Beach, CA",0.0144
6037603802,"Lawndale, CA",0.0143
6037192410,"Central LA, Los Angeles, CA",0.0143
6037201200,"Northeast Los Angeles, Los Angeles, CA",0.0143
6037535200,"South Los Angeles, Los Angeles, CA",0.0143
6037199800,"Northeast Los Angeles, Los Angeles, CA",0.0142
6037203200,"Boyle Heights, Los Angeles, CA",0.0141
6037535501,"South Gate, CA",0.0141
6037552700,"Norwalk, CA",0.0141
6037219700,"Jefferson, Los Angeles, CA",0.0141
6037603101,"Gardena, CA",0.0141
6037481001,"Alhambra, CA",0.014
6037620305,"Manhattan Beach, CA",0.014
6037533803,"Bell, CA",0.0139
