"tract","Name","Fraction_Married_rP_gP_pall"
6037275311,"Los Angeles, CA",0.3704
6037502100,"Whittier, CA",0.3701
6037481711,"Monterey Park, CA",0.3698
6037482303,"Garvey, Rosemead, CA",0.3695
6037552100,"Norwalk, CA",0.3692
6037433402,"El Monte, CA",0.3692
6037500403,"El Rancho, Pico Rivera, CA",0.369
6037433306,"El Monte, CA",0.3689
6037554801,"Artesia, CA",0.3684
6037603600,"Gardena, CA",0.3682
6037480901,"Alhambra, CA",0.3681
6037603802,"Lawndale, CA",0.368
6037209300,"Central LA, Los Angeles, CA",0.3676
6037603703,"Hawthorne, CA",0.3676
6037553400,"Downey, CA",0.3669
6037212420,"Central LA, Los Angeles, CA",0.3665
6037408301,"Bassett, Avocado Heights, CA",0.3661
6037702400,"Lucerne - Higuera, Culver City, CA",0.366
6037701302,"Wilshire Montana, Santa Monica, CA",0.3656
6037702201,"Sunset Park, Santa Monica, CA",0.3647
6037211420,"Central LA, Los Angeles, CA",0.3646
6037262200,"Bel Air, Los Angeles, CA",0.3643
6037550300,"Norwalk, CA",0.3642
6037550100,"Norwalk, CA",0.3641
6037543601,"Carson, CA",0.3639
6037213401,"Central LA, Los Angeles, CA",0.3635
6037550201,"Norwalk, CA",0.3634
6037275302,"Marina del Rey, CA",0.3634
6037211410,"Central LA, Los Angeles, CA",0.3632
6037543801,"Carson, CA",0.3631
6037552800,"Norwalk, CA",0.3626
6037702901,"Marina del Rey, CA",0.3626
6037480803,"Alhambra, CA",0.3621
6037500700,"El Rancho, Pico Rivera, CA",0.3617
6037432901,"Rosemead, CA",0.3617
6037701100,"West Los Angeles, Los Angeles, CA",0.3616
6037432401,"El Monte City, El Monte, CA",0.3613
6037543802,"Carson, CA",0.3612
6059110603,"Buena Park, CA",0.3609
6037482521,"South Montebello, Rosemead, CA",0.3608
6037433200,"El Monte City, El Monte, CA",0.3608
6037502200,"Whittier, CA",0.3607
6037192510,"Central LA, Los Angeles, CA",0.3606
6037213100,"Central LA, Los Angeles, CA",0.3605
6037217002,"Central LA, Los Angeles, CA",0.3603
6037433602,"Garvey, Rosemead, CA",0.36
6037211121,"Central LA, Los Angeles, CA",0.36
6037530301,"East Los Angeles, CA",0.3599
6037702801,"Clarkdale, Culver City, CA",0.3597
6037224700,"South Los Angeles, Los Angeles, CA",0.3596
6037552301,"Norwalk, CA",0.3595
