"tract","Name","Number_of_Children_rP_gP_pall"
6037600201,"South Los Angeles, Los Angeles, CA",1656
6037502301,"Whittier, CA",1656
6037228720,"South Los Angeles, Los Angeles, CA",1655
6037535605,"South Gate, CA",1654
6037229100,"Central Alameda, Los Angeles, CA",1653
6037500900,"El Rancho, Pico Rivera, CA",1652
6037533902,"South Montebello, Bell Gardens, CA",1644
6037600303,"South Los Angeles, Los Angeles, CA",1643
6037227010,"South Los Angeles, Los Angeles, CA",1643
6037241120,"South Los Angeles, Los Angeles, CA",1642
6037602106,"Hawthorne, CA",1638
6037601303,"Inglewood, CA",1632
6037532302,"South Montebello, Los Angeles, CA",1629
6037205110,"Boyle Heights, Los Angeles, CA",1629
6037241202,"South Los Angeles, Los Angeles, CA",1627
6037201401,"Northeast Los Angeles, Los Angeles, CA",1625
6037240020,"South Los Angeles, Los Angeles, CA",1624
6037604002,"Lawndale, CA",1621
6037500800,"El Rancho, Pico Rivera, CA",1620
6037552100,"Norwalk, CA",1616
6037434003,"El Monte, CA",1616
6037228710,"Central Alameda, Los Angeles, CA",1615
6037543905,"Carson, CA",1612
6037533804,"Bell, CA",1610
6059110104,"Cypress, CA",1609
6059110110,"Cypress, CA",1608
6037242300,"South Los Angeles, Los Angeles, CA",1607
6037553701,"Paramount, CA",1606
6037554700,"Norwalk, CA",1602
6037531504,"East Los Angeles, CA",1601
6037650902,"Old Town Torrance, Torrance, CA",1600
6037481402,"San Gabriel, CA",1593
6037555212,"Hawaiian Gardens, CA",1591
6037540901,"South Los Angeles, Los Angeles, CA",1590
6037231300,"South Los Angeles, Los Angeles, CA",1589
6037533703,"Maywood, CA",1588
6037541200,"Compton, CA",1587
6037554512,"Cerritos, CA",1587
6037240800,"South Los Angeles, Los Angeles, CA",1585
6037204300,"Boyle Heights, Los Angeles, CA",1584
6037199400,"Mount Washington, Los Angeles, CA",1584
6037203720,"Boyle Heights, Los Angeles, CA",1582
6037602403,"Hawthorne, CA",1582
6037570203,"North Long Beach, Long Beach, CA",1581
6037239202,"South Los Angeles, Los Angeles, CA",1577
6037551900,"Norwalk, CA",1576
6037602802,"South Los Angeles, Los Angeles, CA",1570
6037237300,"South Los Angeles, Los Angeles, CA",1564
6037531702,"South Montebello, East Los Angeles, CA",1563
6037235202,"Park Mesa Heights, Los Angeles, CA",1563
6037650200,"Northwest Torrance, Torrance, CA",1553
6037544001,"Carson, CA",1552
6037570800,"Lakewood, CA",1550
6037199201,"Montecito Heights, Los Angeles, CA",1548
6037530500,"East Los Angeles, CA",1546
6037239701,"South Los Angeles, Los Angeles, CA",1544
6037240600,"South Los Angeles, Los Angeles, CA",1543
6037551501,"Downey, CA",1542
6037570901,"Lakewood, CA",1541
6037534002,"South Montebello, Bell Gardens, CA",1540
6037600304,"South Los Angeles, Los Angeles, CA",1536
6037533806,"Bell, CA",1535
6037228220,"South Los Angeles, Los Angeles, CA",1535
6037218400,"Central LA, Los Angeles, CA",1533
6037238200,"South Los Angeles, Los Angeles, CA",1533
6037531602,"South Montebello, East Los Angeles, CA",1533
6059110117,"Cypress, CA",1531
6037237600,"South Figueroa Corridor, Los Angeles, CA",1529
6037217100,"Central LA, Los Angeles, CA",1527
6037239310,"South Los Angeles, Los Angeles, CA",1525
6037553502,"Paramount, CA",1524
6037535102,"South Los Angeles, Los Angeles, CA",1519
6037543000,"Compton, CA",1517
6037533103,"Huntington Park, CA",1515
6037232500,"South Los Angeles, Los Angeles, CA",1514
6037204810,"Boyle Heights, Los Angeles, CA",1511
6037241001,"South Los Angeles, Los Angeles, CA",1511
6037551300,"Downey, CA",1506
6037195710,"Los Angeles, CA",1505
6037220000,"Jefferson, Los Angeles, CA",1503
6037502004,"East Whitter, Whittier, CA",1496
6037482521,"South Montebello, Rosemead, CA",1496
6037192610,"Central LA, Los Angeles, CA",1495
6037501600,"Whittier, CA",1495
6037222500,"South Los Angeles, Los Angeles, CA",1494
6037191410,"Central LA, Los Angeles, CA",1493
6037240010,"South Los Angeles, Los Angeles, CA",1492
6037218210,"Central LA, Los Angeles, CA",1491
6037601502,"Inglewood, CA",1491
6037602506,"Hawthorne, CA",1490
6037535002,"South Los Angeles, Los Angeles, CA",1490
6037532500,"Huntington Park, CA",1488
6037552301,"Norwalk, CA",1487
6037533402,"Maywood, CA",1486
6037571000,"Lakewood, CA",1485
6037219020,"South Los Angeles, Los Angeles, CA",1484
6037570404,"Freeway Circle, Long Beach, CA",1482
6037553000,"Norwalk, CA",1474
6037205120,"Central LA, Los Angeles, CA",1473
6037650602,"Torrance, CA",1473
6037291210,"Harbor, Gardena, CA",1470
6037570303,"North Long Beach, Long Beach, CA",1470
6037601401,"Inglewood, CA",1469
6037533300,"Maywood, CA",1466
6037238320,"South Figueroa Corridor, Los Angeles, CA",1466
6037234902,"Park Mesa Heights, Los Angeles, CA",1465
6037534404,"Cudahy, CA",1465
6037535603,"South Gate, CA",1464
6037237101,"South Figueroa Corridor, Los Angeles, CA",1463
6037602004,"Inglewood, CA",1461
6037501002,"Whittier, CA",1461
6037602504,"Hawthorne, CA",1460
6037501200,"Whittier, CA",1460
6037603801,"Lawndale, CA",1458
6037535501,"South Gate, CA",1458
6037650300,"Northwest Torrance, Torrance, CA",1458
6037482301,"Garvey, San Gabriel, CA",1457
6037571704,"Addams, Long Beach, CA",1455
6037554101,"Bellflower, CA",1455
6037550902,"Downey, CA",1453
6037277400,"Los Angeles, CA",1451
6037530901,"Los Angeles, CA",1451
6037191610,"Central LA, Los Angeles, CA",1449
6037554105,"Bellflower, CA",1447
6037501400,"Whittier, CA",1443
6037570204,"North Long Beach, Long Beach, CA",1443
6037536104,"South Gate, CA",1442
6037534502,"Huntington Park, CA",1441
6037703002,"Los Angeles, CA",1440
6037554521,"Cerritos, CA",1440
6037533104,"Huntington Park, CA",1439
6037500404,"El Rancho, Pico Rivera, CA",1439
6037542103,"Compton, CA",1439
6037601202,"Inglewood, CA",1438
6037550601,"Downey, CA",1437
6037534804,"Huntington Park, CA",1436
6037218120,"Central LA, Los Angeles, CA",1436
6037197700,"Echo Park, Los Angeles, CA",1435
6037540902,"South Los Angeles, Los Angeles, CA",1435
6037504002,"La Mirada, CA",1433
6037555103,"Lakewood, CA",1432
6037554802,"Artesia, CA",1432
6037602507,"Hawthorne, CA",1430
6037197500,"Echo Park, Los Angeles, CA",1428
6037604001,"Lawndale, CA",1427
6037237202,"South Los Angeles, Los Angeles, CA",1426
6037228410,"South Los Angeles, Los Angeles, CA",1426
6059110111,"Cypress, CA",1424
6037601801,"Inglewood, CA",1424
6037543400,"Carson, CA",1424
6037226410,"South Los Angeles, Los Angeles, CA",1423
6037432602,"El Monte City, El Monte, CA",1421
6037543801,"Carson, CA",1421
6037651201,"Seaside, Torrance, CA",1419
6037219902,"Los Angeles, CA",1417
6037481401,"San Gabriel, CA",1415
6037239702,"South Los Angeles, Los Angeles, CA",1412
