"tract","Name","Individual_Income_Excluding_Spouse_rP_gP_pall"
6037201503,"Northeast Los Angeles, Los Angeles, CA",30718
6037212420,"Central LA, Los Angeles, CA",30705
6037502801,"Santa Fe Springs, CA",30686
6037219500,"South Los Angeles, Los Angeles, CA",30678
6037603302,"Gardena, CA",30677
6037572600,"West Side, Long Beach, CA",30661
6037552602,"Norwalk, CA",30631
6037543501,"Carson, CA",30622
6037574000,"Plaza, Long Beach, CA",30621
6037195500,"Silver Lake, Los Angeles, CA",30617
6037620702,"North Redondo, Redondo Beach, CA",30604
6037570100,"Ramona Park, Long Beach, CA",30603
6037270200,"Palms, Los Angeles, CA",30577
6037480902,"Alhambra, CA",30574
6037201402,"Northeast Los Angeles, Los Angeles, CA",30562
6037702501,"Carlson Park, Culver City, CA",30561
6059110201,"Buena Park, CA",30545
6037206050,"Central LA, Los Angeles, CA",30538
6037550902,"Downey, CA",30508
6037502200,"Whittier, CA",30505
6037551401,"Downey, CA",30498
6037701100,"West Los Angeles, Los Angeles, CA",30482
6037481202,"San Gabriel, CA",30476
6037273800,"Venice, Los Angeles, CA",30418
6037482521,"South Montebello, Rosemead, CA",30412
6037192510,"Central LA, Los Angeles, CA",30401
6037543502,"Torrance, CA",30373
6037201302,"Northeast Los Angeles, Los Angeles, CA",30358
6037212800,"Central LA, Los Angeles, CA",30353
6037433307,"El Monte, CA",30335
6037620522,"North Redondo, Redondo Beach, CA",30334
6037273902,"Venice, Los Angeles, CA",30328
6037555104,"Lakewood, CA",30287
6037536102,"South Gate, CA",30285
6037197420,"Echo Park, Los Angeles, CA",30272
6037500800,"El Rancho, Pico Rivera, CA",30265
6037650003,"Northwest Torrance, Torrance, CA",30252
6037543306,"Carson, CA",30238
6037700101,"Central LA, West Hollywood, CA",30219
6059110202,"Southwest Anaheim, Buena Park, CA",30195
6037500403,"El Rancho, Pico Rivera, CA",30191
6037702400,"Lucerne - Higuera, Culver City, CA",30168
6037503302,"East Whitter, Whittier, CA",30167
6037502500,"El Rancho, Pico Rivera, CA",30166
6037224410,"South Los Angeles, Los Angeles, CA",30152
6037481101,"San Gabriel, CA",30148
6037269907,"Palms, Los Angeles, CA",30097
6037433102,"El Monte City, El Monte, CA",30093
6037201700,"Northeast Los Angeles, Los Angeles, CA",30078
6037185320,"Northeast Los Angeles, Los Angeles, CA",30076
6037543702,"Carson, CA",30070
