"tract","Name","Individual_Income_Excluding_Spouse_rP_gP_pall"
6037540600,"South Los Angeles, Los Angeles, CA",19905
6037226001,"South Los Angeles, Los Angeles, CA",19574
6037234901,"Park Mesa Heights, Los Angeles, CA",19287
6037600303,"South Los Angeles, Los Angeles, CA",19091
6037600202,"South Los Angeles, Los Angeles, CA",19077
6037273502,"Venice, Los Angeles, CA",19063
6037243100,"South Los Angeles, Los Angeles, CA",19011
6037600602,"Inglewood, CA",18975
6037241202,"South Los Angeles, Los Angeles, CA",18623
6037209200,"Central LA, Los Angeles, CA",18610
6037242600,"South Los Angeles, Los Angeles, CA",18573
6037571600,"Carmelitos, Long Beach, CA",18125
6037234902,"Park Mesa Heights, Los Angeles, CA",18086
6037236204,"Baldwin Village, Los Angeles, CA",16813
6037242100,"South Los Angeles, Los Angeles, CA",16346
6037206300,"Central LA, Los Angeles, CA",12987
6037980030,"El Segundo, CA",
6037980006,"Long Beach, CA",
6037980005,"Torrance, CA",
6037265301,"Westwood, Los Angeles, CA",
6037980018,"Long Beach, CA",
6037980025,"Carson, CA",
6037980002,"Carson, CA",
6037980013,"El Segundo, CA",
6037207400,"Central LA, Los Angeles, CA",
6037551600,"Downey, CA",
6037206020,"Central LA, Los Angeles, CA",
6037980028,"Los Angeles, CA",
6037504102,"Norwalk, CA",
6037265304,"Westwood, Los Angeles, CA",
6037222700,"South Los Angeles, Los Angeles, CA",
